Date,Open,High,Low,Close,Adj Close,Volume
12/13/2011,314.694702,318.598602,311.736725,313.128143,313.128143,8048300
12/14/2011,311.236237,312.472473,306.551544,309.34433,309.34433,7799500
12/15/2011,311.571564,312.312317,309.654663,310.080078,310.080078,4812300
12/16/2011,312.472473,314.974976,311.046051,313.293304,313.293304,8909600
12/19/2011,314.319305,314.564575,310.310303,311.226227,311.226227,4282700
12/20/2011,314.314301,316.236237,314.309296,315.500488,315.500488,4771600
12/21/2011,315.320313,316.226227,309.789795,313.223236,313.223236,4990800
12/22/2011,314.289276,316.181183,313.818817,315.165161,315.165161,3640900
12/23/2011,316.316315,317.657654,315.595581,316.886902,316.886902,2904400
12/27/2011,316.341339,322.567566,316.316315,320.445435,320.445435,3209500
12/28/2011,321.696686,322.822815,319.369354,320.170166,320.170166,4250100
12/29/2011,321.066071,321.821808,317.917908,321.521515,321.521515,3147600
12/30/2011,321.331329,323.703705,321.331329,323.273285,323.273285,3561000
1/3/2012,326.796783,334.409424,326.511505,333.038025,333.038025,7345600
1/4/2012,332.847839,335.460449,330.640656,334.474487,334.474487,5722200
1/5/2012,331.396393,332.317322,328.443451,329.834839,329.834839,6559200
1/6/2012,329.904907,330.330322,325.220215,325.335327,325.335327,5380400
1/9/2012,323.573578,323.823822,310.925934,311.541534,311.541534,11633500
1/10/2012,315.190186,317.217224,308.763763,311.881897,311.881897,8782400
1/11/2012,312.062073,315.01001,310.87088,313.293304,313.293304,4795200
1/12/2012,315.925934,316.761749,313.563568,315.135132,315.135132,3746600
1/13/2012,313.443451,313.788788,310.840851,312.8078,312.8078,4609900
1/17/2012,316.306305,316.306305,313.153168,314.604614,314.604614,3814700
1/18/2012,313.628632,317.317322,311.371368,316.771759,316.771759,5517800
1/19/2012,320.815826,320.815826,316.046051,320.105103,320.105103,12597900
1/20/2012,295.560547,295.795807,291.141144,293.2883,293.2883,21131400
1/23/2012,293.293304,294.624634,291.871857,293.05304,293.05304,6818900
1/24/2012,293.453461,294.134125,289.289276,290.755768,290.755768,6105400
1/25/2012,289.044037,289.644653,283.47348,285.030029,285.030029,9965400
1/26/2012,286.276276,287.527527,282.557556,284.33432,284.33432,6445900
1/27/2012,285.67569,290.450439,284.949951,290.280273,290.280273,7227700
1/30/2012,289.314301,290.290283,286.987,289.134125,289.134125,4656300
1/31/2012,291.791779,292.292297,287.862854,290.345337,290.345337,4280500
2/1/2012,292.762756,293.04303,289.859863,290.705719,290.705719,4636700
2/2/2012,292.727722,293.498505,291.331329,292.847839,292.847839,4824500
2/3/2012,295.625641,298.833832,294.319305,298.46347,298.46347,6330600
2/6/2012,297.802795,305.720734,297.302307,304.849854,304.849854,7351800
2/7/2012,303.878876,305,302.18219,303.68869,303.68869,4180000
2/8/2012,304.624634,305.980988,302.672668,305.230225,305.230225,3669100
2/9/2012,306.316315,307.557556,304.80481,306.036041,306.036041,4524800
2/10/2012,304.244232,304.369354,302.302307,303.25827,303.25827,4645700
